"CU_NUMBER","CycleDate","JoinNumber","CU_NAME","TradeNamesId","TradeName"
10958,3/31/2026 0:00:00,5364,"FIRST EAGLE",196,"First Eagle FCU"
11154,3/31/2026 0:00:00,5468,"BLUE COAST",1013,"Buckeye Community Federal Credit Union"
11154,3/31/2026 0:00:00,5468,"BLUE COAST",1014,"Tallahassee Community Federal Credit Union"
11157,3/31/2026 0:00:00,5470,"UTICA DISTRICT TELEPHONE EMPLOYEES",101,"UTELFCU"
11300,3/31/2026 0:00:00,5551,"CLEARWATER",731,"Clearwater Credit Union"
11316,3/31/2026 0:00:00,5562,"SANDIA AREA",124,"Sandia Area"
11364,3/31/2026 0:00:00,5593,"THE FAMILY FIRST",642,"Family First FCU"
11364,3/31/2026 0:00:00,5593,"THE FAMILY FIRST",1034,"Family First Federal Credit Union"
11452,3/31/2026 0:00:00,5642,"CY-FAIR",1016,"PVFCU-a division of Cyfair Federal Credit Union"
11793,3/31/2026 0:00:00,5832,"EMBOLD",1321,"Embold Credit Union"
11944,3/31/2026 0:00:00,5923,"KAIPERM",1110,"Kaiperm Credit Union"
12029,3/31/2026 0:00:00,5974,"UNITED CATHOLICS",167,"UCFCU"
12067,3/31/2026 0:00:00,5997,"BAY",136,"Bay Federal Credit Union"
12067,3/31/2026 0:00:00,5997,"BAY",1247,"BFCU, BayFed, BayFederal"
12153,3/31/2026 0:00:00,6046,"AFENA",504,"Afena FCU"
12164,3/31/2026 0:00:00,6054,"AERO",1200,"AERO Financial"
12164,3/31/2026 0:00:00,6054,"AERO",1201,"AERO Financial Credit Union"
12199,3/31/2026 0:00:00,6071,"KIRTLAND",153,"Your Wingman"
12219,3/31/2026 0:00:00,6082,"USSCO JOHNSTOWN",696,"USSCO FCU"
12319,3/31/2026 0:00:00,6148,"OMAHA POLICE",862,"Police Federal CU *Omaha"
12334,3/31/2026 0:00:00,6157,"NESC",612,"NESC Credit Union"
12425,3/31/2026 0:00:00,6204,"FOOTHILL",695,"Foothill Credit Union"
12458,3/31/2026 0:00:00,6225,"VELOCITY COMMUNITY",1119,"Velocity Community Credit Union"
12805,3/31/2026 0:00:00,6421,"MOCSE",309,"Mocse Credit Union"
12808,3/31/2026 0:00:00,6423,"SUCCESS",720,"Success Credit Union"
12814,3/31/2026 0:00:00,6428,"SEA WEST COAST GUARD",740,"SeaWest Federal Credit Union"
12858,3/31/2026 0:00:00,6459,"TEXAS TECH",634,"Texas Tech Credit Union"
13190,3/31/2026 0:00:00,6656,"LISBON COMMUNITY",887,"LISBON CU"
13190,3/31/2026 0:00:00,6656,"LISBON COMMUNITY",888,"LCFCU"
13190,3/31/2026 0:00:00,6656,"LISBON COMMUNITY",1037,"Lisbon Credit Union"
13495,3/31/2026 0:00:00,6821,"COUNTY SCHOOLS",352,"County Schools FCU"
13495,3/31/2026 0:00:00,6821,"COUNTY SCHOOLS",965,"CSFCU"
13828,3/31/2026 0:00:00,7051,"ALLSOUTH",77,"AllSouth"
13852,3/31/2026 0:00:00,7065,"THE BRIDGEWAY",1017,"Bridgeway Credit Union"
13898,3/31/2026 0:00:00,7094,"ENDURANCE",476,"EFCU"
13902,3/31/2026 0:00:00,7097,"FICARE",1041,"FiCare, Healthcare's Financial Partner"
13940,3/31/2026 0:00:00,7123,"BUSINESS AND INDUSTRIAL",513,"dba   B & I Federal Credit Union"
14011,3/31/2026 0:00:00,7162,"BERRIEN TEACHERS",1073,"N/A"
14369,3/31/2026 0:00:00,7380,"THE DISTRICT",18,"Aurora Schools Federal Credit Un"
14369,3/31/2026 0:00:00,7380,"THE DISTRICT",19,"Aurora Schools Credit Union"
14369,3/31/2026 0:00:00,7380,"THE DISTRICT",20,"ASFCU"
14369,3/31/2026 0:00:00,7380,"THE DISTRICT",863,"The District Federal Credit Union"
14369,3/31/2026 0:00:00,7380,"THE DISTRICT",864,"The District Credit Union"
14384,3/31/2026 0:00:00,7387,"MISSION",103,"MissionFed.com"
14384,3/31/2026 0:00:00,7387,"MISSION",104,"Mission Federal"
14384,3/31/2026 0:00:00,7387,"MISSION",105,"Mission Fed"
14384,3/31/2026 0:00:00,7387,"MISSION",709,"Mission Fed Credit Union"
14425,3/31/2026 0:00:00,7414,"INGERSOLL-RAND",1123,"IRFCU"
14692,3/31/2026 0:00:00,7576,"ONPATH",1121,"OnPath Credit Union"
14762,3/31/2026 0:00:00,7621,"JSC",1015,"Wellby Financial"
14762,3/31/2026 0:00:00,7621,"JSC",1203,"Wellby"
14850,3/31/2026 0:00:00,7676,"CRANBERRY",255,"PCT Federal Credit Union"
14874,3/31/2026 0:00:00,7687,"EXPLORERS",351,"Explorers Federal Credit Union"
14874,3/31/2026 0:00:00,7687,"EXPLORERS",882,"Explorers Credit Union"
14917,3/31/2026 0:00:00,7708,"GIBBONS AND REED EMPLOYEES",837,"G&R Credit Union"
